iter	RMSE
0	206130.845
1	192939.8883
2	180735.4096
3	170319.5628
4	161935.5784
5	153753.4934
6	146924.9156
7	140339.0411
8	134339.7802
9	129274.8363
10	124888.348
11	120809.0889
12	117485.3698
13	114376.4808
14	111544.4702
15	109085.5455
16	106809.3853
17	104788.6123
18	102933.0323
19	101497.3789
20	99928.30516
21	98744.08413
22	97650.44939
23	96456.72236
24	95551.86147
25	94716.46972
26	93814.99099
27	92966.70944
28	92146.75493
29	91335.42774
30	90606.79804
31	89876.22637
32	89399.14466
33	88875.50057
34	88171.218
35	87644.09533
36	87270.40229
37	86899.24237
38	86477.10016
39	85985.03467
40	85649.09004
41	85266.76454
42	84922.92593
43	84646.70722
44	84293.53051
45	83914.68229
46	83515.00835
47	83315.47532
48	83116.63936
49	82865.69663
50	82726.06533
51	82555.92519
52	82304.96003
53	81992.51539
54	81801.80147
55	81630.14721
56	81364.8137
57	81069.24449
58	80806.33723
59	80600.85525
60	80463.88859
61	80322.76706
62	80044.4687
63	79813.77899
64	79682.52909
65	79574.17849
66	79342.58695
67	79219.99076
68	79114.90661
69	79063.12433
70	78878.19169
71	78801.83981
72	78513.34533
73	78431.8928
74	78337.82397
75	78228.32858
76	78071.03547
77	77947.19795
78	77806.4762
79	77505.00418
80	77414.89878
81	77160.98963
82	77067.71672
83	77005.32227
84	76941.37096
85	76719.15632
86	76599.01208
87	76400.02168
88	76315.94083
89	76286.74727
90	76148.76852
91	76086.73766
92	75864.74197
93	75813.99533
94	75717.29057
95	75613.16207
96	75564.6673
97	75524.85756
98	75484.61722
99	75280.34075
100	75141.72209
101	75050.89755
102	74974.33244
103	74873.89324
104	74784.15613
105	74707.50112
106	74620.89151
107	74559.3754
108	74526.26171
109	74496.40659
110	74356.97696
111	74237.93918
112	74198.91938
113	74181.38406
114	74134.41218
115	74102.35375
116	74025.20601
117	73970.89665
118	73936.62072
119	73876.04091
120	73827.6006
121	73813.41482
122	73713.22171
123	73685.45157
124	73605.53793
125	73542.41992
126	73518.9366
127	73426.35004
128	73395.51211
129	73316.4955
130	73241.2656
131	73233.59518
132	73200.85327
133	73175.70894
134	73155.38946
135	73120.99867
136	73031.6262
137	73006.37181
138	72938.42879
139	72855.17747
140	72769.66983
141	72693.34157
142	72654.65555
143	72608.59708
144	72601.49682
145	72554.39237
146	72533.20244
147	72516.15654
148	72443.01066
149	72402.39928
150	72335.47963
151	72286.81953
152	72260.78091
153	72213.75752
154	72192.07864
155	72185.07401
156	72071.42037
157	72044.27056
158	71969.93869
159	71941.67511
160	71889.45449
161	71826.90989
162	71796.42297
163	71735.81134
164	71676.97492
165	71615.68297
166	71565.58611
167	71523.97813
168	71489.56382
169	71444.20539
170	71401.46869
171	71377.00261
172	71335.57532
173	71313.67648
174	71288.09383
175	71264.00739
176	71217.24258
177	71164.31965
178	71112.75812
179	71064.49669
180	71035.83533
181	71013.24045
182	70985.80299
183	70955.73137
184	70935.67213
185	70905.17705
186	70888.48902
187	70869.52775
188	70824.0445
189	70800.60084
190	70792.55594
191	70752.58891
192	70707.25105
193	70661.70575
194	70636.39172
195	70624.59598
196	70596.35707
197	70576.62638
198	70524.19092
199	70495.40961
200	70478.60213
201	70473.55632
202	70457.81608
203	70440.28727
204	70421.23374
205	70392.67118
206	70375.3361
207	70342.80598
208	70307.5256
209	70278.83371
210	70264.36685
211	70253.99296
212	70243.57982
213	70205.65827
214	70172.26895
215	70158.87518
216	70156.48811
217	70125.2698
218	70087.0945
219	70053.37259
220	70022.98496
221	70006.7191
222	69993.47673
223	69985.89229
224	69970.54457
225	69964.64199
226	69945.97671
227	69929.71587
228	69908.58028
229	69882.64361
230	69874.75135
231	69846.87465
232	69835.29199
233	69822.59147
234	69798.08187
235	69797.47792
236	69781.56089
237	69745.35346
238	69738.27934
239	69717.31298
240	69678.42043
241	69676.93053
242	69649.74041
243	69635.44946
244	69615.81171
245	69583.65725
246	69565.26075
247	69539.44903
248	69512.93445
249	69492.36423
250	69469.83263
251	69446.01911
252	69427.18119
253	69402.31269
254	69395.35768
255	69368.44266
256	69355.94211
257	69354.35185
258	69329.07449
259	69321.39704
260	69286.11765
261	69249.01387
262	69222.56297
263	69208.43356
264	69173.12162
265	69160.80936
266	69139.63257
267	69118.68849
268	69103.52012
269	69084.80292
270	69079.92804
271	69066.86892
272	69050.22946
273	69035.90655
274	69022.32103
275	68995.7716
276	68970.08609
277	68942.08401
278	68921.38935
279	68899.08161
280	68891.34535
281	68867.97734
282	68827.01283
283	68814.80967
284	68785.07585
285	68749.48663
286	68745.28151
287	68719.65752
288	68705.7544
289	68685.35251
290	68672.74872
291	68662.69845
292	68629.42612
293	68607.47375
294	68586.08781
295	68567.98866
296	68556.01093
297	68538.6483
298	68534.48508
299	68528.40754
300	68513.12444
301	68489.2453
302	68487.67087
303	68450.24403
304	68440.86717
305	68431.31612
306	68422.56373
307	68399.51806
308	68381.84703
309	68372.26975
310	68352.27847
311	68339.21987
312	68323.32828
313	68309.59017
314	68301.19833
315	68283.62117
316	68265.811
317	68246.81659
318	68233.82834
319	68222.76183
320	68206.61838
321	68190.25517
322	68173.52726
323	68162.64757
324	68140.76902
325	68132.74594
326	68118.05027
327	68109.35718
328	68105.95483
329	68096.68077
330	68087.53768
331	68081.13232
332	68075.00548
333	68056.5052
334	68044.81364
335	68010.99108
336	67988.8773
337	67978.43999
338	67969.62519
339	67961.09333
340	67937.09956
341	67921.69162
342	67902.30553
343	67881.27008
344	67872.8608
345	67860.646
346	67847.58118
347	67829.78103
348	67820.93212
349	67811.61764
350	67801.41971
351	67786.52574
352	67771.27844
353	67757.78638
354	67753.77845
355	67744.06926
356	67736.71137
357	67722.83503
358	67714.1564
359	67699.85864
360	67687.65852
361	67680.07054
362	67667.97709
363	67659.04623
364	67638.06581
365	67627.65019
366	67613.85068
367	67596.67223
368	67585.40011
369	67573.59671
370	67547.20051
371	67541.12311
372	67524.69158
373	67515.1597
374	67494.86033
375	67479.19476
376	67459.57638
377	67450.29598
378	67439.90576
379	67429.63889
380	67410.41473
381	67394.73046
382	67375.5217
383	67359.66631
384	67353.62642
