iter	Passed	Remaining
0	4	4528
1	8	4068
2	13	4502
3	17	4326
4	20	4145
5	25	4170
6	29	4117
7	33	4099
8	36	4066
9	39	3956
10	43	3937
11	47	3916
12	51	3939
13	56	3947
14	59	3928
15	63	3878
16	66	3832
17	70	3848
18	75	3873
19	79	3889
20	82	3858
21	85	3784
22	88	3775
23	92	3781
24	96	3766
25	115	4314
26	120	4327
27	125	4350
28	131	4391
29	136	4401
30	140	4391
31	144	4379
32	148	4351
33	152	4337
34	157	4354
35	162	4341
36	167	4348
37	172	4361
38	177	4362
39	181	4362
40	187	4384
41	192	4379
42	195	4355
43	199	4332
44	203	4328
45	207	4311
46	213	4333
47	218	4332
48	223	4334
49	227	4330
50	233	4336
51	237	4330
52	241	4313
53	245	4304
54	249	4295
55	254	4288
56	257	4262
57	260	4235
58	264	4220
59	268	4205
60	272	4194
61	276	4187
62	280	4179
63	285	4168
64	288	4156
65	293	4147
66	310	4329
67	316	4344
68	323	4364
69	329	4371
70	335	4390
71	353	4551
72	358	4550
73	364	4562
74	371	4585
75	377	4585
76	383	4591
77	389	4600
78	394	4598
79	399	4591
80	405	4596
81	409	4589
82	415	4586
83	421	4592
84	427	4603
85	432	4592
86	436	4580
87	440	4563
88	443	4539
89	446	4516
90	450	4501
91	454	4481
92	468	4572
93	475	4581
94	480	4579
95	487	4589
96	493	4592
97	500	4605
98	505	4598
99	511	4605
100	518	4610
101	525	4623
102	533	4644
103	539	4649
104	544	4640
105	548	4629
106	567	4738
107	571	4719
108	577	4722
109	581	4707
110	592	4745
111	607	4815
112	622	4887
113	628	4887
114	633	4878
115	667	5087
116	672	5074
117	677	5061
118	698	5171
119	713	5234
120	721	5243
121	740	5327
122	745	5316
123	755	5337
124	777	5443
125	788	5467
126	796	5476
127	806	5495
128	816	5513
129	823	5508
130	830	5506
131	847	5571
132	856	5580
133	862	5574
134	869	5569
135	875	5563
136	884	5572
137	889	5554
138	893	5533
139	898	5519
140	901	5493
141	905	5472
142	909	5451
143	912	5426
144	915	5399
145	919	5375
146	922	5351
147	924	5322
148	927	5299
149	932	5281
150	935	5261
151	949	5295
152	952	5270
153	955	5247
154	958	5223
155	960	5197
156	966	5188
157	971	5175
158	980	5184
159	983	5164
160	997	5196
161	1009	5224
162	1013	5205
163	1017	5188
164	1023	5178
165	1026	5158
166	1030	5140
167	1033	5119
168	1040	5114
169	1044	5100
170	1048	5082
171	1052	5065
172	1071	5122
173	1077	5112
174	1102	5195
175	1108	5191
176	1114	5183
177	1133	5232
178	1141	5234
179	1161	5291
180	1166	5279
181	1171	5265
182	1190	5315
183	1195	5303
184	1200	5289
185	1218	5332
186	1223	5318
187	1228	5306
188	1232	5286
189	1235	5266
190	1238	5245
191	1242	5227
192	1245	5208
193	1248	5187
194	1251	5167
195	1254	5146
196	1257	5126
197	1260	5106
198	1263	5086
199	1266	5065
200	1269	5046
201	1272	5026
202	1276	5011
203	1279	4991
204	1281	4970
205	1284	4951
206	1288	4934
207	1291	4919
208	1301	4926
209	1305	4910
210	1308	4893
211	1311	4876
212	1315	4859
213	1318	4843
214	1322	4829
215	1325	4812
216	1329	4796
217	1332	4781
218	1336	4767
219	1340	4753
220	1345	4743
221	1379	4833
222	1384	4823
223	1389	4812
224	1395	4805
225	1399	4793
226	1405	4785
227	1410	4776
228	1416	4768
229	1422	4762
230	1427	4753
231	1432	4742
